index,starting_county,ending_county
811,Lawrence County,Lawrence County
812,Lewis County,Lewis County
813,Wayne County,Lawrence County
814,Hardin County,Hardin County
815,Montgomery County,Christian County
816,Giles County,
817,Humphreys County,
818,Maury County,Williamson County
819,Lawrence County,Lawrence County
820,Dickson County,
821,Wayne County,Lawrence County
822,Gibson County,
823,Lauderdale County,
824,Dyer County,
825,Crockett County,Gibson County
826,Madison County,
827,Obion County,
828,Hardeman County,Hardeman County
829,Madison County,
830,McNairy County,
831,McNairy County,McNairy County
832,McNairy County,McNairy County
833,Madison County,
834,Gibson County,Gibson County
835,Madison County,
836,Henderson County,
837,Dyer County,
838,Hardeman County,
839,Haywood County,Madison County
840,Hardeman County,Hardeman County
841,Dyer County,Dyer County
842,Obion County,Weakley County
843,Obion County,
844,Hardeman County,
845,Fayette County,
846,Weakley County,
847,Hardeman County,
848,Gibson County,
849,Gibson County,Gibson County
850,Madison County,
851,Fayette County,
852,Carroll County,
853,Haywood County,
854,Weakley County,
855,Hardeman County,
856,Carroll County,
857,Fayette County,
858,Fayette County,
859,Henry County,
860,Lauderdale County,Crockett County
861,Weakley County,Weakley County
862,Henderson County,
863,Lake County,
864,Haywood County,Haywood County
865,Chester County,
866,Gibson County,Gibson County
867,Henry County,
868,Lake County,Fulton County
869,Fayette County,
870,Hardeman County,Chester County
871,Henderson County,
872,Haywood County,Haywood County
873,Fayette County,Benton County
874,Gibson County,
875,Gibson County,Gibson County
876,Carroll County,
877,Fayette County,Fayette County
878,Dyer County,Dyer County
879,Weakley County,
880,Madison County,Henderson County
881,Hardeman County,Madison County
882,Weakley County,Graves County
883,Dyer County,Dyer County
884,Gibson County,Carroll County
885,Gibson County,Gibson County
886,Fayette County,Fayette County
887,Haywood County,Haywood County
888,Henderson County,Carroll County
889,Hardeman County,Hardeman County
890,Chester County,Chester County
891,Dyer County,Dyer County
892,Henry County,Henry County
893,Madison County,Madison County
894,Dyer County,
895,Chester County,Chester County
896,Madison County,Madison County
897,Lake County,Lake County
898,Obion County,Obion County
899,Fayette County,
900,Haywood County,
901,Crockett County,Gibson County
902,Carroll County,
903,Fayette County,
904,Gibson County,Weakley County
905,Lauderdale County,Dyer County
906,Lauderdale County,Lauderdale County
907,Gibson County,Gibson County
908,Tipton County,Tipton County
909,Hardeman County,
910,Tipton County,Tipton County
911,Tipton County,Tipton County
912,Weakley County,Henry County
913,Fayette County,Madison County
914,Madison County,Madison County
915,McNairy County,McNairy County
916,Weakley County,
